application_id,age,gender,visa_type,documents_submitted,visa_granted,rejection_reason
AUS102996,40,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS102997,46,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Inconsistent information
AUS102998,50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Missing documents
AUS102999,26,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103000,58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103001,24,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance",No,Suspicious travel history
AUS103002,29,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103003,37,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103004,25,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Employer not verified
AUS103005,32,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
AUS103006,27,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Invalid or expired passport
AUS103007,42,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103008,50,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103009,22,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103010,25,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency",No,Academic documents incomplete
AUS103011,59,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103012,41,Other,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS103013,20,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
AUS103014,47,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103015,38,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103016,18,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103017,56,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Failed health requirements
AUS103018,45,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Inconsistent information
AUS103019,26,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103020,52,Other,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS103021,19,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Incorrect application form
AUS103022,58,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary",No,Inconsistent information
AUS103023,58,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Unclear travel purpose
AUS103024,49,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
AUS103025,57,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Unclear travel purpose
AUS103026,44,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103027,30,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103028,37,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
AUS103029,32,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Work Experience Letters",No,Insufficient funds
AUS103030,41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Inconsistent information
AUS103031,41,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,Employer not verified
AUS103032,28,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103033,47,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103034,41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103035,30,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103036,48,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103037,54,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Invalid or expired passport
AUS103038,26,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103039,47,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS103040,52,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Missing documents
AUS103041,49,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103042,58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103043,48,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS103044,59,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103045,24,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103046,23,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
AUS103047,22,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance",No,Suspicious travel history
AUS103048,56,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
AUS103049,51,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103050,58,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103051,59,Male,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Employer not verified
AUS103052,22,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103053,32,Other,Work Visa,"Passport, Job Offer Letter, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS103054,30,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
AUS103055,30,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103056,44,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
AUS103057,38,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103058,23,Male,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Academic documents incomplete
AUS103059,21,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance",No,Failed health requirements
AUS103060,40,Female,Visit Visa,"Bank Statement, Travel Insurance, Invitation Letter",No,IELTS requirement not met
AUS103061,41,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103062,24,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103063,20,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,IELTS requirement not met
AUS103064,35,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS103065,50,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,No strong home-country ties
AUS103066,37,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance",No,Suspicious travel history
AUS103067,42,Female,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Unclear travel purpose
AUS103068,21,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS103069,57,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Failed health requirements
AUS103070,33,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103071,20,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Insufficient funds
AUS103072,58,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS103073,20,Female,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Employer not verified
AUS103074,57,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103075,50,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103076,47,Female,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,Employer not verified
AUS103077,26,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103078,57,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Insufficient funds
AUS103079,21,Male,Work Visa,"Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Failed health requirements
AUS103080,58,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance",No,Insufficient funds
AUS103081,57,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103082,53,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Missing documents
AUS103083,58,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS103084,48,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103085,42,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Insufficient funds
AUS103086,37,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Academic documents incomplete
AUS103087,57,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
AUS103088,58,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Academic documents incomplete
AUS103089,20,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103090,56,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103091,59,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Unclear travel purpose
AUS103092,47,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103093,57,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS103094,25,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS103095,21,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,IELTS requirement not met
AUS103096,47,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,Failed health requirements
AUS103097,23,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
AUS103098,48,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,No strong home-country ties
AUS103099,24,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103100,18,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Invalid or expired passport
AUS103101,47,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Academic documents incomplete
AUS103102,34,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS103103,37,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Unclear travel purpose
AUS103104,53,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103105,57,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,IELTS requirement not met
AUS103106,21,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103107,57,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103108,18,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Employer not verified
AUS103109,58,Male,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Incorrect application form
AUS103110,18,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,No strong home-country ties
AUS103111,33,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103112,18,Female,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Invalid or expired passport
AUS103113,23,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Employer not verified
AUS103114,26,Other,Visit Visa,"Passport, Itinerary, Invitation Letter",No,Invalid or expired passport
AUS103115,21,Other,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Failed health requirements
AUS103116,30,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103117,40,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Employer not verified
AUS103118,26,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Employer not verified
AUS103119,53,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103120,25,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103121,39,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Work Experience Letters",No,Incorrect application form
AUS103122,21,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103123,48,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103124,26,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Incorrect application form
AUS103125,37,Other,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Incorrect application form
AUS103126,44,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS103127,51,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103128,47,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103129,43,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
AUS103130,52,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103131,21,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103132,47,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS103133,33,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Invalid or expired passport
AUS103134,32,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103135,51,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
AUS103136,51,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103137,24,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate",No,Academic documents incomplete
AUS103138,38,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103139,37,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS103140,38,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103141,34,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
AUS103142,31,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103143,18,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
AUS103144,28,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103145,22,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103146,33,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Invalid or expired passport
AUS103147,54,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance",No,Suspicious travel history
AUS103148,22,Other,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Academic documents incomplete
AUS103149,37,Other,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS103150,18,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS103151,30,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Incorrect application form
AUS103152,41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103153,57,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate",No,Unclear travel purpose
AUS103154,47,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
AUS103155,32,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103156,29,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Suspicious travel history
AUS103157,18,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103158,27,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
AUS103159,35,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Academic documents incomplete
AUS103160,41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Suspicious travel history
AUS103161,37,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate",No,Inconsistent information
AUS103162,48,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103163,34,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
AUS103164,31,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103165,22,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103166,39,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, Birth Certificate",No,Employer not verified
AUS103167,31,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103168,23,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103169,53,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Academic documents incomplete
AUS103170,18,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS103171,33,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
AUS103172,59,Male,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Academic documents incomplete
AUS103173,57,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103174,43,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Academic documents incomplete
AUS103175,46,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS103176,46,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
AUS103177,23,Other,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS103178,47,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103179,27,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103180,41,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Academic documents incomplete
AUS103181,36,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS103182,55,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103183,53,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103184,29,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103185,22,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103186,44,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate",No,Missing documents
AUS103187,30,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Incorrect application form
AUS103188,28,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103189,57,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103190,49,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103191,22,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103192,53,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS103193,30,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103194,49,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103195,20,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103196,36,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103197,25,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,No strong home-country ties
AUS103198,29,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103199,31,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103200,46,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
AUS103201,19,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103202,54,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103203,48,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS103204,53,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
AUS103205,49,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS103206,25,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103207,38,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103208,43,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Academic documents incomplete
AUS103209,50,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103210,20,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103211,38,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103212,57,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS103213,55,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
AUS103214,30,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
AUS103215,35,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103216,27,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103217,29,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
AUS103218,33,Other,Work Visa,"Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Incorrect application form
AUS103219,30,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
AUS103220,36,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS103221,26,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS103222,38,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS103223,39,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Failed health requirements
